Lead_ID,Client_Name,Client_Company,Industry,Region,Product_Interest,Lead_Source,Touchpoint_Sequence,Converted
L020001,Chen Khan,Infineon GmbH,,,PathWave Software,Webinar,"['Whitepaper_Download_5G_Test', 'Keysight_University_Course', 'MQL', 'AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'Keysight_University_Course', 'Customer']",1
L020002,Kenji Anders,Broad_Tech,Telecom,,Oscilloscopes,Event,"['Website_Product_Page', 'Keysight_University_Course', 'Lab_Integration_Discussion', 'Keysight_Workshop_RF_Testing', 'Keysight_Workshop_RF_Testing', 'No_Conversion']",0
L020003,Hiroshi Lee,Raytheon,,Europe,5G Testbeds,LinkedIn,"['IMS_Badge_Scan', 'Keysight_Workshop_RF_Testing', 'Oscilloscope_Selector_Tool', 'IMS_Badge_Scan', 'Website_Product_Page', 'Whitepaper_Download_5G_Test', 'Keysight_University_Course', 'Customer']",1
L020004,Sarah Ito,Tesla Energy GmbH,,North America,,LinkedIn,['Customer'],1
L020005,Michael Williams,Samsung Electronics,Telecom,,Oscilloscopes,Webinar,"['Lab_Integration_Discussion', 'Lab_Integration_Discussion', 'PathWave_Trial_Request', 'Customer']",1
L020006,Maria Lee,,Automotive,LATAM,,Email Campaign,"['PathWave_Trial_Request', 'LinkedIn_Ad_Click', 'Customer']",1
L020007,,,Semiconductor,APAC,Oscilloscopes,,"['Technical_Demo', 'MQL', 'Lab_Integration_Discussion', 'Keysight_Workshop_RF_Testing', 'AutoSens_Tech_Talk', 'IMS_Badge_Scan', 'Oscilloscope_Selector_Tool', 'Whitepaper_Download_5G_Test', 'IMS_Badge_Scan', 'No_Conversion']",0
L020008,Kenji Garcia,Sony_Tech,Telecom,,5G Testbeds,Email Campaign,"['SQL', 'Website_Product_Page', 'Whitepaper_Download_5G_Test', 'PathWave_Trial_Request', 'Customer']",1
L020009,,Sony GmbH,,Europe,,,"['DesignCon_Booth_Visit', 'Customer']",1
L020010,Daniel Khan,Raytheon GmbH,,,,,"['Application_Engineer_Call', 'PathWave_Trial_Request', 'Opportunity', 'Customer']",1
L020011,Chen Tanaka,Tesla Energy GmbH,Telecom,Europe,5G Testbeds,Webinar,"['Keysight_University_Course', 'No_Conversion']",0
L020012,Sarah Johnson,Bosch_Tech,,APAC,Oscilloscopes,Email Campaign,"['Website_Product_Page', 'DesignCon_Booth_Visit', 'No_Conversion']",0
L020013,Maria Anders,Samsu_Tech,,Europe,,Event,"['Website_Product_Page', 'Keysight_Workshop_RF_Testing', 'Opportunity', 'Technical_Demo', 'Whitepaper_Download_5G_Test', 'Customer']",1
L020014,,Qualcomm GmbH,Electronics,APAC,,Sales Outreach,"['Oscilloscope_Selector_Tool', 'Website_Product_Page', 'No_Conversion']",0
L020015,Ravi Patel,Qualcomm GmbH,,North America,Oscilloscopes,LinkedIn,"['LinkedIn_Ad_Click', 'Website_Product_Page', 'Technical_Demo', 'Oscilloscope_Selector_Tool', 'Keysight_University_Course', 'No_Conversion']",0
L020016,Daniel Anders,Meta Connectivity Labs GmbH,Semiconductor,,,Email Campaign,"['AutoSens_Tech_Talk', 'IMS_Badge_Scan', 'Technical_Demo', 'Technical_Demo', 'Customer']",1
L020017,Michael Martinez,Rayth_Tech,,,Automotive Ethernet,Webinar,"['Website_Product_Page', 'Oscilloscope_Selector_Tool', 'Opportunity', 'MQL', 'Customer']",1
L020018,Maria Khan,Meta Connectivity Labs,Automotive,,5G Testbeds,Email Campaign,"['Lab_Integration_Discussion', 'Application_Engineer_Call', 'Whitepaper_Download_5G_Test', 'Loaner_Unit_Evaluation', 'Website_Product_Page', 'LinkedIn_Ad_Click', 'IMS_Badge_Scan', 'AutoSens_Tech_Talk', 'Customer']",1
L020019,,Samsung Electronics GmbH,Semiconductor,North America,PathWave Software,Website,"['PathWave_Trial_Request', 'Oscilloscope_Selector_Tool', 'Loaner_Unit_Evaluation', 'No_Conversion']",0
L020020,Sofia Lee,Infineon GmbH,,,,Webinar,"['Whitepaper_Download_5G_Test', 'Application_Engineer_Call', 'Oscilloscope_Selector_Tool', 'LinkedIn_Ad_Click', 'Customer']",1
L020021,,Raytheon GmbH,Telecom,,PathWave Software,Website,"['DesignCon_Booth_Visit', 'MQL', 'Loaner_Unit_Evaluation', 'Whitepaper_Download_5G_Test', 'Keysight_Workshop_RF_Testing', 'IMS_Badge_Scan', 'Keysight_Workshop_RF_Testing', 'AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'Customer']",1
L020022,Sarah Chen,Rayth_Tech,,,5G Testbeds,Webinar,"['MQL', 'IMS_Badge_Scan', 'Whitepaper_Download_5G_Test', 'SQL', 'Technical_Demo', 'Application_Engineer_Call', 'Lab_Integration_Discussion', 'No_Conversion']",0
L020023,Sarah Johnson,Raytheon,Telecom,APAC,PathWave Software,Sales Outreach,"['LinkedIn_Ad_Click', 'PathWave_Trial_Request', 'No_Conversion']",0
L020024,Chen Khan,Qualcomm,,APAC,,,"['Oscilloscope_Selector_Tool', 'Whitepaper_Download_5G_Test', 'Loaner_Unit_Evaluation', 'Lab_Integration_Discussion', 'MQL', 'LinkedIn_Ad_Click', 'Customer']",1
L020025,Sofia Williams,,Automotive,APAC,5G Testbeds,LinkedIn,['Customer'],1
