Lead_ID,Client_Name,Client_Company,Industry,Region,Product_Interest,Lead_Source,Touchpoint_Sequence,Converted
L015001,Priya Johnson,Infineon GmbH,Aerospace,North America,Oscilloscopes,Webinar,"['MQL', 'IMS_Badge_Scan', 'Whitepaper_Download_5G_Test', 'Keysight_University_Course', 'Customer']",1
L015002,Kenji Johnson,,Telecom,APAC,PathWave Software,Sales Outreach,['No_Conversion'],0
L015003,Michael Anders,Meta Connectivity Labs,Semiconductor,APAC,Oscilloscopes,Webinar,"['MQL', 'Loaner_Unit_Evaluation', 'Customer']",1
L015004,Ravi Patel,Broadcom GmbH,Electronics,,Automotive Ethernet,Website,"['Keysight_Workshop_RF_Testing', 'Loaner_Unit_Evaluation', 'No_Conversion']",0
L015005,Kenji Tanaka,Raytheon,Semiconductor,Europe,Automotive Ethernet,LinkedIn,"['LinkedIn_Ad_Click', 'Keysight_Workshop_RF_Testing', 'IMS_Badge_Scan', 'Customer']",1
L015006,Ahmed Ito,,,North America,Oscilloscopes,LinkedIn,"['AutoSens_Tech_Talk', 'MQL', 'SQL', 'Keysight_University_Course', 'Technical_Demo', 'No_Conversion']",0
L015007,Chen Lee,Qualc_Tech,Electronics,APAC,,Event,"['Loaner_Unit_Evaluation', 'Whitepaper_Download_5G_Test', 'Technical_Demo', 'Application_Engineer_Call', 'Customer']",1
L015008,Hiroshi Singh,Tesla Energy GmbH,Electronics,,,Website,"['Whitepaper_Download_5G_Test', 'AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'DesignCon_Booth_Visit', 'Whitepaper_Download_5G_Test', 'Customer']",1
L015009,Laura Johnson,Sony GmbH,Semiconductor,LATAM,5G Testbeds,Event,"['IMS_Badge_Scan', 'Keysight_Workshop_RF_Testing', 'PathWave_Trial_Request', 'Loaner_Unit_Evaluation', 'Technical_Demo', 'No_Conversion']",0
L015010,Michael Chen,NXP Semiconductors GmbH,Aerospace,LATAM,,Email Campaign,"['LinkedIn_Ad_Click', 'LinkedIn_Ad_Click', 'Lab_Integration_Discussion', 'Keysight_University_Course', 'LinkedIn_Ad_Click', 'Oscilloscope_Selector_Tool', 'LinkedIn_Ad_Click', 'No_Conversion']",0
L015011,Laura Singh,NXP Semiconductors,,Europe,Oscilloscopes,,"['Oscilloscope_Selector_Tool', 'PathWave_Trial_Request', 'Website_Product_Page', 'AutoSens_Tech_Talk', 'No_Conversion']",0
L015012,Laura Tanaka,Samsung Electronics,Automotive,,Oscilloscopes,Event,"['PathWave_Trial_Request', 'Technical_Demo', 'Oscilloscope_Selector_Tool', 'Website_Product_Page', 'Customer']",1
L015013,Sofia Tanaka,NXP Semiconductors GmbH,,APAC,,Event,"['IMS_Badge_Scan', 'DesignCon_Booth_Visit', 'PathWave_Trial_Request', 'IMS_Badge_Scan', 'Application_Engineer_Call', 'Application_Engineer_Call', 'Technical_Demo', 'LinkedIn_Ad_Click', 'Oscilloscope_Selector_Tool', 'Technical_Demo', 'Customer']",1
L015014,Hiroshi Garcia,,Electronics,,,Email Campaign,['No_Conversion'],0
L015015,Chen Anders,Samsung Electronics GmbH,,,,LinkedIn,"['Technical_Demo', 'Loaner_Unit_Evaluation', 'Keysight_Workshop_RF_Testing', 'Website_Product_Page', 'Keysight_University_Course', 'Loaner_Unit_Evaluation', 'Whitepaper_Download_5G_Test', 'Customer']",1
L015016,Sofia Ito,NXP Semiconductors GmbH,Telecom,Europe,,Sales Outreach,"['IMS_Badge_Scan', 'Website_Product_Page', 'MQL', 'Whitepaper_Download_5G_Test', 'Oscilloscope_Selector_Tool', 'Keysight_University_Course', 'Keysight_University_Course', 'Loaner_Unit_Evaluation', 'Oscilloscope_Selector_Tool', 'Oscilloscope_Selector_Tool', 'No_Conversion']",0
L015017,Laura Johnson,Samsung Electronics,Automotive,LATAM,Oscilloscopes,Webinar,"['SQL', 'No_Conversion']",0
