Lead_ID,Client_Name,Client_Company,Industry,Region,Product_Interest,Lead_Source,Touchpoint_Sequence,Converted
L005001,Sofia Martinez,Raytheon,Aerospace,,PathWave Software,Website,"['SQL', 'Keysight_Workshop_RF_Testing', 'LinkedIn_Ad_Click', 'Keysight_Workshop_RF_Testing', 'Lab_Integration_Discussion', 'SQL', 'Customer']",1
L005002,Michael Anders,Sony_Tech,Automotive,APAC,5G Testbeds,Website,"['AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'Customer']",1
L005003,Kenji Anders,Broad_Tech,Aerospace,North America,PathWave Software,Sales Outreach,"['Keysight_University_Course', 'Lab_Integration_Discussion', 'No_Conversion']",0
L005004,Sarah Chen,,Semiconductor,North America,Oscilloscopes,Webinar,"['MQL', 'No_Conversion']",0
L005005,Chen Lee,Broadcom,Electronics,APAC,,Sales Outreach,['No_Conversion'],0
L005006,Chen Williams,Infineon,,North America,5G Testbeds,,"['DesignCon_Booth_Visit', 'Opportunity', 'PathWave_Trial_Request', 'LinkedIn_Ad_Click', 'PathWave_Trial_Request', 'AutoSens_Tech_Talk', 'PathWave_Trial_Request', 'PathWave_Trial_Request', 'SQL', 'Customer']",1
L005007,Sofia Williams,,Electronics,LATAM,,Webinar,"['Oscilloscope_Selector_Tool', 'DesignCon_Booth_Visit', 'PathWave_Trial_Request', 'No_Conversion']",0
L005008,Sofia Lee,Broadcom,,Europe,,Sales Outreach,"['Lab_Integration_Discussion', 'Application_Engineer_Call', 'No_Conversion']",0
L005009,,Bosch_Tech,Electronics,,Automotive Ethernet,LinkedIn,"['SQL', 'Technical_Demo', 'Technical_Demo', 'MQL', 'Whitepaper_Download_5G_Test', 'Loaner_Unit_Evaluation', 'PathWave_Trial_Request', 'MQL', 'No_Conversion']",0
L005010,Kenji Martinez,Sony,,North America,,LinkedIn,"['Loaner_Unit_Evaluation', 'Customer']",1
L005011,Michael Khan,Samsung Electronics,Telecom,Europe,,Website,"['Application_Engineer_Call', 'LinkedIn_Ad_Click', 'SQL', 'PathWave_Trial_Request', 'DesignCon_Booth_Visit', 'Website_Product_Page', 'PathWave_Trial_Request', 'No_Conversion']",0
